iter	Passed	Remaining
0	4	2463
1	12	3149
2	16	2760
3	23	2918
4	29	2967
5	335	84	66	416	96	67	507	10278	54	8	1088	153	9	116	5701
10	111	71	2911	12	79	2993
13	84	2920114	813	184	14	145	4706115	1415	1917	105	16	204	17	1617	208	18	171	4342019	179	4302
20	182	4172221	187	4062322	194	40224	146	2786
2524	207	3942625	216	3942726	226	3966
27	230	38729	182	2856
30	185	2813031	193	28231	252	3692
32	259	3668
33	265	3633
34	269	3575
35	279	3601
36	284	3563
37	288	3508
38	296	3500
3940	238	415404140	313	35142	269	2864243	273	2834344	281	2844445	294	2910
46	303	2925
47	309	2917
48	316	2909
49	322	2900
50	330	2913
515049	493	45251	407	3507
52	414	3492
53	417	34455	374	2967
56	391	3042
57	396	3020
58	404	3026
59	409	3002
6059	469	34361	429	3034
62	437	3036
63	448	3058
64	452	3028
6564	520	3480
65	525	3456
66	529	3422
67	538	3422
68	546	3417069	559	3439
70	576	3485
71	579	3445
72	594	3474
73	604	3480
74	607	3444
75	616	3441
76	647	3557
77	656	3551
78	677	3610
79	683	3588
80	687	3556
81	694	3541
82	698	3508
83	710	3521
84	722	3525
85	725	3492
86	733	3482
87	739	3462
88	753	3477
89	756	3447
90	759	3414
91	762	3383
92	766	3355
93	778	3361
94	786	3352
95	790	3327
96	799	3320
97	805	3304
98	811	3285
99	817	3271
100	822	3247
101	830	3240
102	834	3217
103	844	3216
104	849	3195
105	854	3177
106	860	3159
107	866	3144
108	871	3126
109	890	3157
110	895	3139
111	904	3134
112	914	3132
113	927	3141
114	936	3136
115	945	3129
116	949	3108
117	957	3098
118	961	3079
119	972	3078
120	983	3081
121	994	3081
122	998	3061
123	1004	3044
124	1017	3052
125	1031	3062
126	1035	3041
127	1045	3037
128	1055	3035
129	1064	3031
130	1075	3028
131	1082	3017
132	1093	3017
133	1104	3017
134	1119	3025
135	1144	3064
136	1149	3045
137	1162	3048
138	1170	3039
139	1183	3042
140	1193	3038
141	1204	3036
142	1212	3026
143	1224	3026
144	1232	3016
145	1241	3011
146	1246	2994
147	1251	2977
148	1256	2959
149	1265	2953
150	1278	2954
151	1290	2953
152	1300	2949
153	1307	2938
154	1316	2929
155	1322	2915
156	1333	2914
157	1344	2911
158	1350	2895
159	1359	2889
160	1368	2881
161	1378	2875
162	1395	2885
163	1408	2885
164	1412	2867
165	1416	2850
166	1426	2843
167	1436	2838
168	1445	2831
169	1453	2820
170	1466	2821
171	1472	2808
172	1476	2791
173	1489	2790
174	1496	2779
175	1502	2766
176	1516	2766
177	1521	2752
178	1532	2748
179	1540	2739
180	1548	2728
181	1558	2722
182	1569	2717
183	1578	2711
184	1586	2701
185	1593	2690
186	1603	2684
187	1608	2669
188	1622	2669
189	1627	2655
190	1633	2642
191	1643	2636
192	1651	2627
193	1661	2621
194	1667	2607
195	1679	2604
196	1695	2607
197	1704	2600
198	1718	2599
199	1731	2597
200	1737	2584
201	1747	2577
202	1752	2563
203	1762	2557
204	1769	2545
205	1773	2531
206	1778	2517
207	1788	2510
208	1795	2500
209	1806	2495
210	1818	2491
211	1828	2484
212	1858	2503
213	1867	2495
214	1875	2485
215	1882	2475
216	1908	2488
217	1915	2478
218	1922	2466
219	1928	2454
220	1935	2442
221	1941	2430
222	1946	2418
223	1961	2416
224	1966	2403
225	1972	2391
226	1978	2379
227	1983	2366
228	1988	2353
229	2005	2354
230	2012	2343
231	2017	2330
232	2022	2317
233	2027	2304
234	2032	2292
235	2037	2279
236	2046	2271
237	2052	2259
238	2057	2246
239	2063	2235
240	2068	2223
241	2074	2212
242	2079	2199
243	2092	2195
244	2097	2183
245	2102	2170
246	2107	2158
247	2112	2146
248	2116	2133
249	2128	2128
250	2133	2116
251	2138	2104
252	2143	2093
253	2148	2081
254	2153	2069
255	2158	2057
256	2163	2045
257	2173	2038
258	2178	2027
259	2183	2015
260	2187	2003
261	2192	1991
262	2197	1980
263	2202	1968
264	2207	1957
265	2212	1946
266	2228	1944
267	2232	1932
268	2237	1921
269	2242	1910
270	2247	1898
271	2251	1887
272	2256	1876
273	2261	1865
274	2266	1854
275	2271	1843
276	2298	1850
277	2302	1839
278	2307	1828
279	2312	1817
280	2317	1806
281	2321	1795
282	2326	1784
283	2331	1773
284	2345	1769
285	2354	1761
286	2359	1751
287	2364	1740
288	2368	1729
289	2373	1718
290	2377	1707
291	2392	1704
292	2398	1694
293	2403	1684
294	2408	1673
295	2414	1664
296	2419	1653
297	2425	1643
298	2430	1633
299	2435	1623
300	2457	1624
301	2462	1614
302	2467	1604
303	2472	1594
304	2477	1584
305	2483	1574
306	2508	1576
307	2513	1566
308	2518	1556
309	2523	1546
310	2546	1547
311	2551	1537
312	2556	1527
313	2565	1519
314	2570	1509
315	2575	1499
316	2580	1489
317	2585	1479
318	2590	1470
319	2595	1460
320	2600	1450
321	2605	1440
322	2628	1440
323	2633	1430
324	2639	1421
325	2644	1411
326	2650	1402
327	2655	1392
328	2667	1386
329	2672	1376
330	2678	1367
331	2683	1357
332	2688	1348
333	2693	1338
334	2698	1329
335	2720	1327
336	2726	1318
337	2731	1309
338	2736	1299
339	2742	1290
340	2747	1281
341	2752	1271
342	2758	1262
343	2763	1253
344	2774	1246
345	2802	1247
346	2810	1239
347	2816	1229
348	2821	1220
349	2827	1211
350	2833	1202
351	2838	1193
352	2843	1184
353	2877	1186
354	2883	1177
355	2890	1169
356	2896	1160
357	2902	1151
358	2908	1142
359	2914	1133
360	2921	1125
361	2952	1125
362	2958	1116
363	2964	1107
364	2969	1098
365	2975	1089
366	2980	1080
367	2999	1076
368	3005	1066
369	3031	1065
370	3039	1056
371	3044	1047
372	3049	1038
373	3063	1032
374	3068	1022
375	3073	1013
376	3078	1004
377	3083	995
378	3088	986
379	3099	978
380	3104	969
381	3109	960
382	3114	951
383	3119	942
384	3124	933
385	3149	930
386	3155	921
387	3160	912
388	3166	903
389	3171	894
390	3177	885
391	3182	876
392	3187	867
393	3202	861
394	3207	852
395	3212	843
396	3217	834
397	3223	826
398	3228	817
399	3233	808
400	3244	800
401	3258	794
402	3264	785
403	3269	776
404	3275	768
405	3292	762
406	3298	753
407	3304	745
408	3309	736
409	3315	727
410	3321	719
411	3341	713
412	3350	705
413	3356	697
414	3362	688
415	3368	680
416	3374	671
417	3392	665
418	3398	657
419	3404	648
420	3410	639
421	3416	631
422	3422	622
423	3443	617
424	3450	608
425	3456	600
426	3462	591
427	3468	583
428	3473	574
429	3483	567
430	3489	558
431	3495	550
432	3500	541
433	3506	533
434	3530	527
435	3537	519
436	3544	510
437	3550	502
438	3557	494
439	3562	485
440	3569	477
441	3581	469
442	3588	461
443	3594	453
444	3600	444
445	3606	436
446	3612	428
447	3618	419
448	3624	411
449	3643	404
450	3650	396
451	3656	388
452	3663	380
453	3670	371
454	3691	365
455	3703	357
456	3709	348
457	3714	340
458	3719	332
459	3725	323
460	3741	316
461	3747	308
462	3754	299
463	3760	291
464	3765	283
465	3771	275
466	3783	267
467	3789	259
468	3794	250
469	3800	242
470	3806	234
471	3812	226
472	3817	217
473	3822	209
474	3835	201
475	3840	193
476	3846	185
477	3852	177
478	3859	169
479	3864	161
480	3870	152
481	3876	144
482	3881	136
483	3887	128
484	3893	120
485	3898	112
486	3903	104
487	3909	96
488	3914	88
489	3921	80
490	3926	71
491	3934	63
492	3942	55
493	3948	47
494	3953	39
495	3959	31
496	3964	23
497	3969	15
498	3975	7
499	3981	0
3919	7
499	3935	0
